"TEAM NAMES","Series Number",Filename,Name,Description,Gender,Attributes,sha256
"TEAM BEVEL",1,adewale-the-amebo,"adewale the amebo","Adewale likes to be in everyone's business. ",Male,"hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity",da7c3f8db2d097bb254538b2817e34754192f616964fdd0a8d711235b569a4c2
,2,alli-the-queeny,"alli the queeny","Alli is an LGBT Stan.",Male,"hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none",e1659464e8c271af47ff1ae9304a36b2c230a3b572e2349c4c18c201af8245bc
,3,aminat-the-snnobish,"aminat the snnobish","Aminat never really wants to talk to anyone.",Female,"hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude",9c743cdd0640fac54bf3a3a42f254e775fdc0768144c654de55da716f2e0e5a9
,4,aminu-the-carpenter,"aminu the carpenter","Aminu's hands are blessed; he makes the best furniture in the whole of Kano.",Male,"hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none",6ecb77b9a5e091199476595c8fb916ff1c64028984deb5a923fac35b1e0aaa3c
,5,chibuike-the-kudibag,"chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.",Male,"hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none",8d9b6ead0539f4bc13300d80eea1c62dd2296ed55a77d0befac70fc0c8ee17c1
,6,chidinma-the-model,"chidinma the model","From Paris' runways; to London's streets; she's always in demand.",Female,"hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none",65df52626104f2e79be95fa1bb3c38cf86f25d21c88792a87591d1a790b7c194
,7,"chioma-pretty- girl","chioma pretty girl","Chioma's face card is a 100.",Female,"hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none",41a8b03850f6d8f87cfbd285b004f4494837270e16a5e264a6dd07867bdb3b19
,8,damilare-the-handsome,"damilare the handsome","He's a fine boy; proper eye candy. ",Male,"hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none",8a4f64f4e311db330ac57ea24b147ff401a4b420de944d43dfdd41d756390fe3
,9,ebiowie-the-planter,"ebiowie the planter","Ebiowei has a reputation for nurturing plants.",Male,"hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none",cfa035ac1cd2a8668a4e78e0eaa142cce2725242dd547861b428a14bf27c6c34
,10,emeka-the-businessman,"emeka the businessman","Emeka only cares about containers. No time to waste.",Male,"hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none",e4b89bb9e8013c9918699d4bfaa3cb74228d15e41e174c88662f0c81291c2231
,11,gbeminyi-the-monk,"gbeminyi the monk","He lives in a monastery off the coast. No one has heard him speak in years.",Male,"hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none",1cce81f646f6d7bad55e0cf9672f65b35413f08049bc8786e2277468fbccb5ba
,12,henry-the-sportsman,"henry the sportsman","He's played every sport known to man. Even cricket.",Male,"hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none",a1e2b1b6807038ad08267e2f331e7e691706f56f64f9bdcabc2eeb705a2ead65
,13,mayowa-the-smallie,"mayowa the smallie","Mayowa is so small but everyone loves him still.",Male,"hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none",550b4ccf490877c48f31ed5a8a707716d807795121a5d087f5378fa80282bbce
,14,muyiwa-the-stylish,"muyiwa the stylish","Muyiwa has a motto which is never to be caught unfresh.",Male,"hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none",efcf294a73a66ce6dc5df93db5e1f73ce04c59da932de0e4d3e95760216b75ff
,15,nina-paper-chaser,"nina paper chaser","Nina loves money. It's all she dreams of. ",Female,"hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none",6a75e91fa20c175a4adf8582f34f418dfdefe126af47e3ecb217d1ef37534396
,16,oluwaseun-spicy,"oluwaseun spicy","He loves spicy foods. He cooks pepper and sprinkles rice on top.",Male,"hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none",aa32b270e98acbb6bb4901e4c201dd2bf44f114e58d559e222287e47bd57a9eb
,17,sesan-the-smartie,"sesan the smartie","Sesan always comes first in competitions.",Male,"hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none",3cf7f1a357ee14d2dfe7d4890039cbf7006f065f41345c25ddce9023fe5b9326
,18,tiwa-london,"tiwa london","If she says she's in London and you see her; you're in London too.",Female,"hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;",ab8c6950b996461ca9ba36540afba2ceef0607072dc18803c038aa4f2e89f2b1
,19,tunde-yoruba-demon,"tunde yoruba demon","Tunde derives joy in breaking hearts. It's a lifestyle.",Male,"hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity",6da664589d0a65a23e310b1eb8314f55f51d6ca83d4a6a63e0f3783e8d5b8807
,20,yakubu-the-zombie,"yakubu the zombie","Yakubu earned his zombie title because na only dust full him head.",Male,"hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things",e1fc67d32b717f7b671c393dfc0614c48e6d06d408142cb66919ab320ae50c8c
"TEAM CLUTCH",21,abdul-the-vibe,"abdul the vibe","Abdul the life of the party and can never be caught un-fresh.",Male,"hair: none; eyes: black; teeth: none; clothing: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation",0183c7b708f3aec4263b2b3a6292f1e89d75eb445299a4dd087aeeb6bde2b689
,22,"emeka-the -clown","emeka the clown","Emeka the funny man; always making silly joke.",Male,"hair: none; eyes: black; teeth: none; clothing: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique",9e8bffb376204d5c190c271283a7fe71a8b2a855442a0c8e87d198ca48efd18d
,23,salam-the-odogwu,"salam the odogwu","Salam is a big time textile marketer always sourcing for quality materials.",Male,"hair: none; eyes: brown; teeth: none; clothing: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience",4c6f24c7cfe54740fb224efa5ac8e588d56097ac216b573a045c46c94be69e57
,24,charles-the-exporter,"charles the exporter","Charles a business man an importer and exporter never to be caught idle.",Male,"hair: none; eyes: grey; teeth: none; clothing: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant",4b7a1055e851d63fe3ff778aad75e215b9965ff2b4ab7f51f4b4859577e33af8
,25,wole-the-pimp,"wole the pimp","Wole knows people and his way around his city.",Male,"hair: none; eyes: black; teeth: two white teeth with diastema; clothing :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous",b99fe2ffae1ef373fd526f0aac43abff3cb4929083de883e3f3ccc3e853de88d
,26,saro-the-baller,"saro the baller","Saro is a baller and he is always ready to turn-up",Male,"hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothing: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable",ab61647cf8eb0de5ea73f3703ce0f50256fca4f81b233e36787b982f6caaedd4
,27,ade-omo-yoruba,"ade omo yoruba","Ade is an influential man and he is revered in his town.",Male,"hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothing: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination",0b724a1da0e1ecef8a9550fe22a78a3c07a0428048182331a15effbb349cbcd1
,28,shola-cool-kid,"shola cool kid","Shola prefers to be alone because he hates stress.",Male,"hair: none; eyes: none; teeth: none; clothing: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful",dde68a62771f173d719232145a231cd44921a79a93faea7b3e60a9f26db3f21a
,29,charlie-the-smoker,"charlie the smoker","Charlie uses smoking as a coping mechanism.",Male,"hair: none; eyes: black; teeth: none; clothing: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible",ffada21a9e0448b5ac182a68de52e5cccf55bcfc7f67b0a3623c84ae36fadd83
,30,femi-the-badguy,"femi the badguy","Femi is one of the fliest guys in Lagos.",Male,"hair: orange; eyes: black; teeth: none; clothing: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance",505f1a922983f1d43da02c7f0a1fef05573c644d6df48a53e5b35e508b84b18b
,31,sinzu-money,"sinzu money","Sinzu loves spending money on flashy things.",Male,"hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothing: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ",5cc3f945f54d8fe317d3e26d62301ee9b21172cc3c8392d0c294174a019d7645
,32,"obinna-the-palmwine tapper","obinna the palmwine tapper","Obinna taps palmwine for a living.",Male,"hair: none; eyes: black; teeth: none; clothing: yellow black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive",241e5da58d15928646f3b54e33d62ce246b2e16d800fa7e90d83928b65dc2c90
,33,aminu-maikudi,"aminu maikudi","Aminu is a wealthy man from a family with generational wealth. ",Male,"hair: none; eyes: black; teeth: none; clothing: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness",067b843ec28803d74068bbcf3a96557998b74374b253a62da95c558f9193d25c
,34,"sabinus-the-town crier","sabinus the town crier","Sabinus delivers messages to his town people.",Male,"hair: none; eyes: black; teeth: two white teeth with diastema; clothing: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience",44db91e3be9ae0171ab8ec8181c308c16eec5aee3431155fee1121defe6bf52e
,35,adisa-ibadan,"adisa ibadan","Adisa is an elegant man and he is adored by his people.",Male,"hair: none; eyes: black; teeth: none; clothing: kente; accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy",db3bf8197c6cafab87196f9af14a68fdc2b428415b0176fe3f73c44315761f11
